date,Unnamed: 0,ABV,creditCard,purchase,totalSales
2019-01-01,3535,23.6,10074229762190000,291.63,2916.3
2019-01-02,1802,9.2,210566606092987,111.69,1116.9
2019-01-03,3132,22.0,12398059344733128,327.89000000000004,3278.9000000000005
2019-01-04,1917,11.9,4657467141116223,209.44,2094.4
2019-01-05,4309,36.3,16556300085434736,407.9,4079.0
2019-01-06,3180,30.6,20098468569525084,512.08,5120.8
2019-01-07,4308,30.5,5470870169781587,364.2,3642.0
2019-01-08,3039,28.1,14686361724921016,310.24,3102.4
2019-01-09,3063,22.9,11825876269450382,279.25,2792.5
2019-01-10,2076,12.9,9824419054202136,147.1,1471.0
2019-01-11,4768,36.49999999999999,12622838832238426,368.68,3686.8
2019-01-12,3799,24.4,14250961592000360,213.76999999999998,2137.7
2019-01-13,1058,5.9,180066583450658,77.82,778.1999999999999
2019-01-14,1863,13.399999999999999,10792196351569696,152.91,1529.1
2019-01-15,4689,22.5,1650709775033253,204.39,2043.8999999999999
2019-01-16,2466,24.3,11095609509448244,153.15999999999997,1531.5999999999997
2019-01-17,3260,32.3,18456272120326792,349.65999999999997,3496.5999999999995
2019-01-18,4780,36.1,20936361321613192,338.46999999999997,3384.7
2019-01-19,1277,3.7,5107414023343381,6.11,61.1
2019-01-20,8008,51.300000000000004,17260015171698928,557.4399999999999,5574.4
2019-01-21,3359,11.8,8536346572562509,137.73,1377.3
2019-01-22,3599,28.4,17741957056726726,244.04999999999998,2440.5
2019-01-23,4367,17.3,590729258771307,202.51,2025.1
2019-01-24,3689,23.0,20155659636276664,179.79000000000002,1797.9
2019-01-25,5226,32.8,13412813424328514,382.13,3821.3
2019-01-26,6447,31.0,16862197509519732,334.2,3342.0
2019-01-27,1571,9.1,1242120521435983,33.64,336.4
2019-01-28,3496,23.6,3750863990511038,282.01000000000005,2820.1000000000004
2019-01-29,1359,14.299999999999999,10074754445014820,150.75,1507.5
2019-01-30,3754,31.6,15668710656370908,395.41999999999996,3954.2
2019-01-31,6306,29.200000000000003,16201743113833944,322.46999999999997,3224.7
2019-02-01,3380,30.049999999999997,22188492675474432,356.86,3568.6000000000004
2019-02-02,3399,24.7,8941392772587463,224.18,2241.8
2019-02-03,4928,40.4,20340569406036944,372.67999999999995,3726.7999999999993
2019-02-04,2314,8.600000000000001,5784472070144819,96.13000000000001,961.3000000000001
2019-02-05,1699,18.3,15394059833734808,162.01,1620.1
2019-02-06,5152,45.0,22782955133042288,302.88,3028.8
2019-02-07,2771,32.2,21644636385067604,368.86,3688.6000000000004
2019-02-08,1267,9.2,9663886352055,21.869999999999997,218.7
2019-02-09,4094,27.7,26439954926473464,338.11,3381.1000000000004
2019-02-10,3573,29.799999999999997,12163809160142952,294.2,2942.0
2019-02-11,4087,21.4,15414364635119316,202.34,2023.4
2019-02-12,4654,38.0,16903855165015610,578.28,5782.799999999999
2019-02-13,2551,16.6,15134460171201032,201.88,2018.8
2019-02-14,2748,19.799999999999997,15431941848671292,317.06,3170.6
2019-02-15,3258,31.6,17802544184778270,370.21000000000004,3702.1000000000004
2019-02-16,1139,15.0,6051532967876060,144.69,1446.9
2019-02-17,3301,24.9,13145867894839136,225.54,2255.4
2019-02-18,4526,30.700000000000003,18474236851749808,312.5,3125.0
2019-02-19,1282,7.9,352310430851028,120.22999999999999,1202.3
2019-02-20,4950,23.1,9865602216786752,337.22999999999996,3372.2999999999997
2019-02-21,1883,15.0,5595838276532911,31.04,310.4
2019-02-22,2697,16.5,6226120919925476,154.81,1548.1
2019-02-23,4139,32.6,15422828988187348,478.66999999999996,4786.7
2019-02-24,3926,20.8,13315528995227036,212.01,2120.1
2019-02-25,3336,35.0,11071405300463962,465.46000000000004,4654.6
2019-02-26,1729,9.0,4940876184115730,96.13,961.3
2019-02-27,2524,18.6,7685501869949796,268.09999999999997,2680.9999999999995
2019-02-28,4292,30.400000000000002,5326282649876657,385.79,3857.9
2019-03-01,3779,28.599999999999998,13196811875238624,220.45,2204.5
2019-03-02,4091,23.700000000000003,15433686586807908,295.54,2955.4
2019-03-03,4198,26.4,10226089575873326,266.83,2668.2999999999997
2019-03-04,4717,21.7,13929248147744692,335.91,3359.1000000000004
2019-03-05,3195,31.7,22325769842123444,421.44999999999993,4214.499999999999
2019-03-06,2690,19.3,12723482650629930,140.57999999999998,1405.7999999999997
2019-03-07,4333,28.2,18299566087513992,316.22,3162.2000000000003
2019-03-08,8068,46.6,25769441716937376,551.11,5511.1
2019-03-09,910,10.7,6011674678420679,106.63999999999999,1066.3999999999999
2019-03-10,5826,33.4,24680000362593684,313.65,3136.5
2019-03-11,2677,25.599999999999998,16836345208563480,381.93000000000006,3819.3000000000006
2019-03-12,4750,22.5,8800874338673702,293.53,2935.2999999999997
2019-03-13,2346,14.7,357479696658706,149.93,1499.3000000000002
2019-03-14,5373,26.500000000000004,5168592110080512,212.5,2125.0
2019-03-15,2077,19.5,16292880106428260,263.24,2632.4
2019-03-16,365,4.7,3088227940832916,74.74,747.4
2019-03-17,2603,25.0,12903674427796992,246.91000000000003,2469.1000000000004
2019-03-18,3940,27.8,11559843403854632,255.51,2555.1
2019-03-19,6340,27.2,19192364981459572,219.1,2191.0
2019-03-20,5685,34.5,9415656060903912,279.22,2792.2000000000003
2019-03-21,3605,31.6,16572666549965606,383.98,3839.8
2019-03-22,5844,52.5,28453925184097940,536.0699999999999,5360.699999999999
2019-03-23,5549,25.7,11501968638535260,107.0,1070.0
2019-03-24,917,6.2,4608073623922445,71.96,719.5999999999999
2019-03-25,4637,27.6,22089534551510232,318.99,3189.9
2019-03-26,10700,61.4,37633383762717160,720.26,7202.6
2019-03-27,4999,32.5,23456815192649348,230.45999999999998,2304.6
2019-03-28,1054,8.5,1249807161167134,75.83,758.3
2019-03-29,6420,51.1,30914864778331336,487.83,4878.3
2019-03-30,3584,21.299999999999997,16645907782958122,155.36999999999998,1553.6999999999998
2019-03-31,3820,17.900000000000002,4216036619542527,169.7,1697.0
2019-04-01,5367,22.7,15386830377647152,317.21000000000004,3172.1000000000004
2019-04-02,5711,29.700000000000003,4273690862296315,393.95,3939.5
2019-04-03,3933,26.5,15107963685434608,347.57,3475.7
2019-04-04,2588,17.6,11418302191189544,300.74,3007.4
2019-04-05,6571,38.8,27536424225928824,503.07,5030.7
2019-04-06,2436,26.599999999999998,19649264268636416,258.84999999999997,2588.4999999999995
2019-04-07,5669,33.699999999999996,9200949830302904,491.57000000000005,4915.700000000001
2019-04-08,3212,22.8,14714306147626320,297.15999999999997,2971.5999999999995
2019-04-09,2666,12.999999999999998,9709331724706468,223.51,2235.1
2019-04-10,2773,33.65,20542095878518304,201.88,2018.8
2019-04-11,3124,18.700000000000003,10960381698188112,110.78,1107.8
2019-04-12,5608,36.2,33280388465761880,589.12,5891.2
2019-04-13,4133,27.1,24943409448657072,312.86,3128.6000000000004
2019-04-14,7053,47.199999999999996,21930737394946320,662.91,6629.099999999999
2019-04-15,1182,10.7,3434885901325486,121.03,1210.3
2019-04-16,2983,26.1,14948899772955584,306.14,3061.3999999999996
