,ABV,Beer Name,Beer Style,Brewery Name,name,creditCard,email,purchase,saleType,date
0,9.2,10 BLINKS Cheery Saison,Saison,Arbor Brewing company Beers,Martinez-Herman,6011929061123406,pdunlap@yahoo.com,98.14,draught,2019-04-10
1,6.3,Arbor Cheery Cider,Cider,Arbor Brewing company Beers,"Fletcher, Richards and Whitaker",3337758169645356,anthony41@reed.com,70.73,draught,2019-04-05
2,7.0,Barrel Aged EIK ZON IPA,Sour,Arbor Brewing company Beers,"Simpson, Williams and Pham",675957666125,amymiller@morales-harrison.com,0.95,draught,2019-01-29
3,5.9,Bliss Wheat,Wheat Beer,Arbor Brewing company Beers,"Williams, Marshall and Buchanan",6011578504430710,brent16@olson-robinson.info,78.04,draught,2019-04-29
4,6.0,Bollywood Blonde,Blonde,Arbor Brewing company Beers,"Brown, Watson and Andrews",6011456623207998,christopherwright@gmail.com,77.82,draught,2019-02-26
5,7.5,Buzzsaw American IPA,IPA,Arbor Brewing company Beers,Silva-Anderson,30246185196287,ynguyen@gmail.com,25.15,bottles or cans,2019-01-28
6,4.4,Cucumber Lime Gose,"Gose,Kettle Sour",Arbor Brewing company Beers,Gibson and Sons,6011398782655569,olivia04@yahoo.com,88.56,draught,2019-01-06
7,5.5,Euchre Pilsner,"Larger, Pilsner",Arbor Brewing company Beers,Marshall-Collins,561252141909,phillip48@parks.info,44.25,draught,2019-03-07
8,7.7,Framboozled,Sour,Arbor Brewing company Beers,Galloway and Sons,180041795790001,kdavis@rasmussen.com,59.54,bottles or cans,2019-01-05
9,4.6,Kick Out The Jam,Sour,Arbor Brewing company Beers,"Rivera, Buchanan and Ramirez",4396283918371,qcoleman@hunt-huerta.com,95.63,bottles or cans,2019-03-11
10,5.7,Mackinac Island Fudge Stout,Stout,Arbor Brewing company Beers,"Strickland, Michael and Gonzales",180036417827355,ustewart@hotmail.com,96.89,draught,2019-04-29
11,5.0,MAFKA Barrel Aged Sour Ale,"Sour, Specialty",Arbor Brewing company Beers,Kim-Oliver,869975209012056,johnnymiller@coleman.com,19.26,bottles or cans,2019-02-15
12,6.8,Sacred Cow IPA,IPA,Arbor Brewing company Beers,Moore-Martin,5115990487067905,tholt@hotmail.com,39.65,bottles or cans,2019-02-07
13,6.8,Second Sun,Americian Wild Ale,Arbor Brewing company Beers,Keller PLC,4603635169938574,caitlin57@yahoo.com,8.93,bottles or cans,2019-01-24
14,7.7,Strawberry Blonde,Blonde,Arbor Brewing company Beers,"Leach, Howe and Ferguson",869967499275071,aburns@yahoo.com,24.18,draught,2019-03-07
15,6.2,Treebeard IPA,Pale Ale,Arbor Brewing company Beers,Garcia-Steele,180069437020404,amanda39@yahoo.com,71.78,bottles or cans,2019-02-27
16,9.5,Violin Monster,Specialty,Arbor Brewing company Beers,"Stanton, Villanueva and Swanson",676121145525,griffincatherine@wilson.com,84.44,bottles or cans,2019-04-19
17,4.2,Blonde Bear,NA,LITTLE Critters Brewing Company,"Fernandez, Melton and Gilbert",3337515540944084,stacymitchell@hall.com,58.68,draught,2019-01-20
18,4.5,Sleepy Badger,ENGLISH ALE,LITTLE Critters Brewing Company,"Beard, Abbott and Pena",6011350184276270,hannah63@yahoo.com,70.15,bottles or cans,2019-03-29
19,5.0,WHITE WOLF,AMERICAN ALE,LITTLE Critters Brewing Company,Turner-Mckinney,676343504830,ruiznicole@gmail.com,58.39,bottles or cans,2019-04-10
20,4.3,SHIRE HORSE,ENGLISH ALE,LITTLE Critters Brewing Company,"Santana, Montes and Pierce",6011833038852776,zstephenson@smith.info,30.33,bottles or cans,2019-04-06
21,6.5,C MONSTER,NA,LITTLE Critters Brewing Company,Guzman-Reese,5491255326230898,rsmith@hotmail.com,90.93,draught,2019-03-17
22,5.5,CHAMELEON SERIES,NA,LITTLE Critters Brewing Company,Burnett Ltd,3158663456056588,chambersmichael@gmail.com,33.62,bottles or cans,2019-01-22
23,7.2,KING CROW,ENGLISH ALE,LITTLE Critters Brewing Company,Cruz Inc,502010078983,ltaylor@gardner-meadows.com,97.97,draught,2019-04-30
24,6.0,NUTTY AMBASSADOR,ENGLISH ALE,LITTLE Critters Brewing Company,Morris PLC,4749728852401144,james07@yahoo.com,85.31,draught,2019-02-13
25,3.6,LITTLE HOPPER,ENGLISH ALE,LITTLE Critters Brewing Company,Saunders-Mendez,869938033091779,madison41@mooney.com,6.25,draught,2019-02-28
26,5.25,LIGHTHOUSE AMBER,GERMAN,CHEBOYGAN BREWING CO.,"Stephens, Johnson and Combs",60488441233,mlogan@gmail.com,17.75,bottles or cans,2019-04-10
27,5.7,BLOOD ORANGE HONEY,AMERICIAN,CHEBOYGAN BREWING CO.,"Levine, Shaw and Jenkins",869948145612941,michael35@hotmail.com,39.4,bottles or cans,2019-01-11
28,5.7,IPA #11,BREW MASTER,CHEBOYGAN BREWING CO.,Reed Inc,180026477662982,khandeborah@yahoo.com,70.75,draught,2019-01-18
29,5.0,BLUEBERRY CREAM ALE,BLUE BERRY,CHEBOYGAN BREWING CO.,Goodwin Ltd,4170734785397597,stonekaren@yahoo.com,82.16,bottles or cans,2019-02-05
30,5.9,LA CERVEZA,AMERICIAN PALE ALE,CHEBOYGAN BREWING CO.,Mills-Stewart,4262383666841320,laurahess@hotmail.com,8.43,bottles or cans,2019-01-12
31,6.0,OKTOBERFEST,"MUNCH, GERMANY",CHEBOYGAN BREWING CO.,Nicholson Group,4614997834548,ashley12@hotmail.com,94.14,draught,2019-03-04
32,8.25,IMPERIAL CINNAMON HEFEWEIZEN,GERMAN,CHEBOYGAN BREWING CO.,Martinez-Wilson,4942281854569455,shane21@atkinson.com,56.63,draught,2019-03-13
33,4.5,RED SAIL ALE,AMERICAN,CHEBOYGAN BREWING CO.,Miles Inc,4981497027087090,salazarpatricia@yahoo.com,19.63,bottles or cans,2019-03-26
34,5.25,BLACK CHERRY VANILLA PORTER,NA,CHEBOYGAN BREWING CO.,"Morgan, Dunlap and Lopez",4488424222907706,mdavis@carey-davis.com,89.6,bottles or cans,2019-02-01
35,6.8,CHOCOLATE COVERED CHERRY STOUT,STOUT,CHEBOYGAN BREWING CO.,Mora Ltd,6011049630969815,hgonzalez@mcdowell.com,97.46,draught,2019-02-05
36,8.8,BELGIAN DUBBEL,BELGIUM,CHEBOYGAN BREWING CO.,Hanna-Grant,180042289507877,saundersernest@walsh.com,9.77,draught,2019-05-02
37,4.8,WET RY'D,MICHIGAN,CHEBOYGAN BREWING CO.,"Lawson, Rodriguez and Ramirez",180062205588942,marc20@frederick.info,80.42,draught,2019-01-13
38,5.5,YUZU,PERHAPS SUMMER,CHEBOYGAN BREWING CO.,"Bryant, Hubbard and Gonzales",210094965373094,djennings@boyd-english.org,30.07,draught,2019-03-01
39,NA,JUSA PORTER,STOUT,CHEBOYGAN BREWING CO.,"Sweeney, Miller and Castaneda",30508996615114,stephanie90@wells-carlson.info,13.89,draught,2019-02-09
40,6.8,ASSUMPTION SAISON,FARMHOUSE,FIRST STREET BRWEING CO.,Weiss Group,348836222401711,hernandezevelyn@dickerson.com,87.68,draught,2019-01-16
41,5.5,BACK ALLEY PORTER,NA,FIRST STREET BRWEING CO.,Scott-Fuller,4547562019036152,kimberlygaines@yahoo.com,23.06,bottles or cans,2019-01-05
42,5.5,BACK ALLEY NITRO,NA,FIRST STREET BRWEING CO.,"Atkinson, Conway and Young",3096412225633417,cwalsh@gmail.com,51.21,draught,2019-03-09
43,5.6,FIRST STREET WHITE ALE,BELGIAN,FIRST STREET BRWEING CO.,Matthews-Meyer,6011488855778396,phillipallison@martinez-thomas.com,51.79,bottles or cans,2019-04-08
44,6.1,INTER OCEAN IPA,CASCADE AND COLUMBUS,FIRST STREET BRWEING CO.,Esparza Ltd,30003479457184,aprilorr@yahoo.com,8.58,draught,2019-02-05
45,5.2,POPULAR BLONDE,UNIQUE BLONDE ALE,FIRST STREET BRWEING CO.,Jackson-Allen,869978354045368,gregorygarner@chambers.com,18.69,draught,2019-03-21
46,5.2,POPULAR BLONDE NITRO,UNIQUE BLONDE ALE,FIRST STREET BRWEING CO.,Brown-Brown,30124451554465,wmckenzie@gmail.com,53.99,draught,2019-03-22
47,5.2,QUEEN CITY KOLSCH,"COLOGNE, GERMANY LARGER",FIRST STREET BRWEING CO.,Sanchez PLC,4237333090755,zrocha@glenn.org,97.01,draught,2019-04-25
48,4.3,THORNBERRY'S BEST,ENGLISH ALE,FIRST STREET BRWEING CO.,Diaz-Farrell,210095502370279,pruittjohn@allen.com,58.66,bottles or cans,2019-02-15
49,6.6,BAPAJACK'S BIERE DE GRADE,NEW,FIRST STREET BRWEING CO.,"Ingram, Sullivan and Contreras",5374455122083499,schmidtjacob@gmail.com,86.38,draught,2019-01-17
50,5.4,DLD DUNKELWEIZEN,GERMANY,FIRST STREET BRWEING CO.,"Wright, Williams and Mendez",4008586485908075,susanvalentine@obrien.org,36.85,draught,2019-01-22
51,6.6,18 MILE RYE PALE ALE,MIX OF AMERICIAN AND ENGLISH HOPS,603 BREWERY,"Howard, Garcia and Jones",4332227215237678,vincentgriffith@cook-castillo.com,93.22,draught,2019-03-27
