date,Unnamed: 0,ABV,creditCard,purchase,totalSales
2019-01-01,3235,23.9,21107678200506384,260.69,2606.9
2019-01-02,5393,30.5,17534018837331754,384.27000000000004,3842.7000000000003
2019-01-03,270,4.0,869985215977291,81.74,817.4
2019-01-04,4336,23.700000000000003,6751754493213519,226.58999999999997,2265.8999999999996
2019-01-05,2267,19.1,6206593884628841,257.47,2574.7000000000003
2019-01-06,1192,17.6,11840941655821286,127.49000000000001,1274.9
2019-01-07,3005,29.5,6433897189793078,317.01,3170.1
2019-01-08,6036,37.0,11734272438549572,354.11,3541.1000000000004
2019-01-09,3917,34.3,22255599629415680,362.98,3629.8
2019-01-10,5108,37.5,7637913045799073,386.9,3869.0
2019-01-11,5591,31.200000000000003,18761371889217760,258.03000000000003,2580.3
2019-01-12,3397,23.3,6256595086518221,147.94,1479.4
2019-01-13,1111,23.8,587607925491725,228.48999999999998,2284.8999999999996
2019-01-14,5717,34.099999999999994,11365652695808784,302.37,3023.7
2019-01-15,950,9.100000000000001,870431460123426,53.11,531.1
2019-01-16,3689,28.200000000000003,20384376897562508,346.22,3462.2000000000003
2019-01-17,3088,26.599999999999998,20839869809050700,245.79,2457.9
2019-01-18,5439,36.8,10614031032129300,226.55,2265.5
2019-01-19,1471,22.7,5822564453993533,143.53,1435.3
2019-01-20,3909,27.6,11137342955338588,341.08,3410.7999999999997
2019-01-21,6961,34.7,4075697507130000,298.41,2984.1000000000004
2019-01-22,5454,45.4,23877723632746512,572.6999999999999,5726.999999999999
2019-01-23,7917,49.6,24295752575033824,360.18,3601.8
2019-01-24,7043,39.0,14984075282818612,358.25,3582.5
2019-01-25,3498,12.6,8900063953286194,132.11,1321.1000000000001
2019-01-26,5264,48.599999999999994,34120666057600256,531.96,5319.6
2019-01-27,2910,21.8,10238780079912372,259.03,2590.2999999999997
2019-01-28,5059,34.5,11930062530886404,173.66,1736.6
2019-01-29,2448,26.2,9304390525865628,195.47,1954.7
2019-01-30,6924,27.799999999999997,17540206210819380,303.21,3032.1
2019-01-31,3106,22.799999999999997,9341743239429456,169.66000000000003,1696.6000000000004
2019-02-01,5231,37.3,21269305816811604,510.18999999999994,5101.9
2019-02-02,3623,20.5,6809897973787099,239.79999999999998,2398.0
2019-02-03,4204,32.5,10063499319798048,324.2,3242.0
2019-02-04,3272,22.1,11557141702911392,151.86,1518.6000000000001
2019-02-05,1428,21.0,11558072844192590,168.64999999999998,1686.4999999999998
2019-02-06,4479,25.4,14851078344870220,409.29999999999995,4092.9999999999995
2019-02-07,1632,10.6,9584704371633712,39.12,391.2
2019-02-08,3147,31.199999999999996,17430606500305552,299.90999999999997,2999.0999999999995
2019-02-09,3645,28.2,24232423512208424,381.18000000000006,3811.8000000000006
2019-02-10,6101,51.400000000000006,30550315171216812,212.02,2120.2000000000003
2019-02-11,2819,31.000000000000004,15447175749514146,325.26000000000005,3252.6000000000004
2019-02-12,1862,7.9,184960502829803,178.16,1781.6
2019-02-13,1152,26.0,20946792586739764,223.56,2235.6
2019-02-14,1476,21.0,7873181142917499,151.58999999999997,1515.8999999999996
2019-02-15,1913,8.2,4392008146002148,118.06,1180.6
2019-02-16,3679,33.0,14300912731826260,254.51,2545.1
2019-02-17,2936,19.2,10822038164215820,194.4,1944.0
2019-02-18,6814,49.9,15551616299587818,430.13,4301.3
2019-02-19,1587,8.9,360072848172486,122.3,1223.0
2019-02-20,2975,23.2,6516941581096460,383.36,3833.6000000000004
2019-02-21,3840,21.299999999999997,19081616391895944,241.20999999999998,2412.1
2019-02-22,3069,19.5,11437616193994872,185.21,1852.1000000000001
2019-02-23,845,10.600000000000001,4048271341995736,128.03,1280.3
2019-02-24,3979,27.4,20286383546238480,354.34000000000003,3543.4000000000005
2019-02-25,2655,20.3,7043250408186103,163.03000000000003,1630.3000000000002
2019-02-26,5005,32.3,16979255258332142,384.03,3840.2999999999997
2019-02-27,3574,24.6,11682373091751932,304.28,3042.7999999999997
2019-02-28,4497,31.299999999999997,23606099417910480,438.25,4382.5
2019-03-01,7924,51.5,22790761001684512,556.36,5563.6
2019-03-02,3220,18.4,9061085951108438,223.03,2230.3
2019-03-03,4047,27.3,6813929950701656,369.63,3696.3
2019-03-04,2729,19.6,5007229302041912,198.18,1981.8000000000002
2019-03-05,1330,16.4,618932559775910,152.72,1527.2
2019-03-06,4325,30.099999999999998,15419015949619788,412.34000000000003,4123.400000000001
2019-03-07,4180,49.099999999999994,22158154161271284,519.2,5192.0
2019-03-08,3659,23.200000000000003,13353884157981084,217.51000000000002,2175.1000000000004
2019-03-09,1812,18.7,14360467386341540,208.64999999999998,2086.5
2019-03-10,1540,16.6,12200742958740792,245.99,2459.9
2019-03-11,5319,35.0,9643293010077864,415.14,4151.4
2019-03-12,1618,12.899999999999999,5911862738213708,136.67000000000002,1366.7000000000003
2019-03-13,4402,39.45,30030590409916864,365.02000000000004,3650.2000000000003
2019-03-14,3187,24.2,9929027166393482,375.86,3758.6000000000004
2019-03-15,5189,34.599999999999994,16392930532081934,350.52,3505.2
2019-03-16,351,4.8,4142519962339370,95.72,957.2
2019-03-17,7231,44.699999999999996,18563641583126292,569.84,5698.400000000001
2019-03-18,3370,30.1,15236099367589200,404.98,4049.8
2019-03-19,1177,11.3,64957317940302,91.72999999999999,917.3
2019-03-20,3739,31.1,4988310590933274,305.40999999999997,3054.0999999999995
2019-03-21,45,5.2,869978354045368,18.69,186.9
2019-03-22,2800,23.599999999999998,21828685129756752,171.20000000000002,1712.0000000000002
2019-03-23,5323,45.0,27630310483857620,421.67,4216.7
2019-03-24,5516,45.4,24909687830244332,530.93,5309.299999999999
2019-03-25,3860,19.4,3699587937511479,197.07999999999998,1970.7999999999997
2019-03-26,786,10.2,6616587700517288,123.34,1233.4
2019-03-27,4276,28.5,23686278080785728,308.8,3088.0
